,WS_S1,WS_S4,FLOW_S25A,GATE_S25A,HWS_S25A,TWS_S25A,FLOW_S25B,GATE_S25B,HWS_S25B,TWS_S25B,FLOW_S26,GATE_S26,HWS_S26,TWS_S26,PUMP_S26,mean,Timestamp
2010-01-01 00:00:00,0.33,0.34,0.0,0.0,2.17,0.49,0.0,0.0,2.84,0.58,0.0,0.0,2.78,0.505,0.0,0.0,2010-01-01 00:00:00
2010-01-01 00:10:00,0.24,0.24,0.0,0.0,2.17,0.49,0.0,0.0,2.84,0.46,0.0,0.0,2.78,0.4,0.0,0.0,2010-01-01 00:10:00
2010-01-01 00:20:00,0.15,0.12,0.0,0.0,2.17,0.4,0.0,0.0,2.84,0.34,0.0,0.0,2.78,0.29,0.0,0.0,2010-01-01 00:20:00
2010-01-01 00:30:00,0.03,0.02,0.0,0.0,2.17,0.3,0.0,0.0,2.84,0.24,0.0,0.0,2.78,0.2,0.0,0.0,2010-01-01 00:30:00
2010-01-01 00:40:00,-0.05,-0.06,0.0,0.0,2.17,0.2,0.0,0.0,2.84,0.15,0.0,0.0,2.78,0.08,0.0,0.0,2010-01-01 00:40:00
2010-01-01 00:50:00,-0.18,-0.19,0.0,0.0,2.17,0.11,0.0,0.0,2.84,0.02,0.0,0.0,2.78,-0.01,0.0,0.0,2010-01-01 00:50:00
2010-01-01 01:00:00,-0.29,-0.28,0.0,0.0,2.17,0.02,0.0,0.0,2.84,-0.07,0.0,0.0,2.78,-0.11,0.0,0.0,2010-01-01 01:00:00
2010-01-01 01:10:00,-0.38,-0.35,0.0,0.0,2.17,-0.09,0.0,0.0,2.83,-0.16,0.0,0.0,2.78,-0.23,0.0,0.0,2010-01-01 01:10:00
2010-01-01 01:20:00,-0.46,-0.44,0.0,0.0,2.17,-0.17,0.0,0.0,2.83,-0.28,0.0,0.0,2.78,-0.32,0.0,0.0,2010-01-01 01:20:00
2010-01-01 01:30:00,-0.57,-0.55,0.0,0.0,2.17,-0.25,0.0,0.0,2.84,-0.36,0.0,0.0,2.78,-0.41,0.0,0.0,2010-01-01 01:30:00
2010-01-01 01:40:00,-0.63,-0.6,0.0,0.0,2.17,-0.33,0.0,0.0,2.84,-0.44,0.0,0.0,2.79,-0.5,0.0,0.0,2010-01-01 01:40:00
2010-01-01 01:50:00,-0.71,-0.67,0.0,0.0,2.17,-0.42,0.0,0.0,2.84,-0.55,0.0,0.0,2.79,-0.58,0.0,0.0,2010-01-01 01:50:00
2010-01-01 02:00:00,-0.81,-0.73,0.0,0.0,2.17,-0.49,0.0,0.0,2.84,-0.62,0.0,0.0,2.79,-0.65,0.0,0.0,2010-01-01 02:00:00
2010-01-01 02:10:00,-0.88,-0.78,0.0,0.0,2.17,-0.55,0.0,0.0,2.83,-0.68,0.0,0.0,2.78,-0.71,0.0,0.0,2010-01-01 02:10:00
2010-01-01 02:20:00,-0.91,-0.79,0.0,0.0,2.17,-0.61,0.0,0.0,2.84,-0.74,0.0,0.0,2.78,-0.78,0.0,0.0,2010-01-01 02:20:00
2010-01-01 02:30:00,-0.96,-0.84,0.0,0.0,2.16,-0.66,0.0,0.0,2.84,-0.79,0.0,0.0,2.78,-0.8,0.0,0.0,2010-01-01 02:30:00
2010-01-01 02:40:00,-0.97,-0.84,0.0,0.0,2.16,-0.69,0.0,0.0,2.84,-0.81,0.0,0.0,2.79,-0.82,0.0,0.0,2010-01-01 02:40:00
2010-01-01 02:50:00,-0.98,-0.85,0.0,0.0,2.16,-0.73,0.0,0.0,2.84,-0.82,0.0,0.0,2.79,-0.85,0.0,0.0,2010-01-01 02:50:00
2010-01-01 03:00:00,-0.98,-0.85,0.0,0.0,2.15,-0.75,0.0,0.0,2.83,-0.82,0.0,0.0,2.79,-0.85,0.0,0.0,2010-01-01 03:00:00
2010-01-01 03:10:00,-0.98,-0.83,0.0,0.0,2.15,-0.75,0.0,0.0,2.84,-0.81,0.0,0.0,2.78,-0.85,0.0,0.0,2010-01-01 03:10:00
2010-01-01 03:20:00,-0.94,-0.81,0.0,0.0,2.15,-0.75,0.0,0.0,2.84,-0.79,0.0,0.0,2.78,-0.82,0.0,0.0,2010-01-01 03:20:00
2010-01-01 03:30:00,-0.9,-0.73,0.0,0.0,2.14,-0.73,0.0,0.0,2.84,-0.74,0.0,0.0,2.78,-0.77,0.0,0.0,2010-01-01 03:30:00
2010-01-01 03:40:00,-0.85,-0.68,0.0,0.0,2.14,-0.69,0.0,0.0,2.84,-0.69,0.0,0.0,2.79,-0.71,0.0,0.0,2010-01-01 03:40:00
2010-01-01 03:50:00,-0.77,-0.61,0.0,0.0,2.14,-0.63,0.0,0.0,2.84,-0.61,0.0,0.0,2.79,-0.66,0.0,0.0,2010-01-01 03:50:00
2010-01-01 04:00:00,-0.69,-0.49,0.0,0.0,2.13,-0.55,0.0,0.0,2.84,-0.53,0.0,0.0,2.79,-0.55,0.0,0.0,2010-01-01 04:00:00
2010-01-01 04:10:00,-0.6,-0.43,0.0,0.0,2.13,-0.47,0.0,0.0,2.84,-0.45,0.0,0.0,2.79,-0.46,0.0,0.0,2010-01-01 04:10:00
2010-01-01 04:20:00,-0.49,-0.31,0.0,0.0,2.13,-0.37,0.0,0.0,2.84,-0.32,0.0,0.0,2.79,-0.37,0.0,0.0,2010-01-01 04:20:00
2010-01-01 04:30:00,-0.37,-0.17,0.0,0.0,2.12,-0.25,0.0,0.0,2.84,-0.21,0.0,0.0,2.79,-0.23,0.0,0.0,2010-01-01 04:30:00
2010-01-01 04:40:00,-0.25,-0.04,0.0,0.0,2.12,-0.14,0.0,0.0,2.84,-0.11,0.0,0.0,2.78,-0.12,0.0,0.0,2010-01-01 04:40:00
2010-01-01 04:50:00,-0.09,0.09,0.0,0.0,2.12,-0.01,0.0,0.0,2.84,0.06,0.0,0.0,2.78,0.01,0.0,0.0,2010-01-01 04:50:00
2010-01-01 05:00:00,0.03,0.21,0.0,0.0,2.12,0.12,0.0,0.0,2.84,0.19,87.12,0.0,2.4,0.15,0.0,0.0,2010-01-01 05:00:00
2010-01-01 05:10:00,0.19,0.29,0.0,0.0,2.12,0.25,0.0,0.0,2.84,0.3,569.58,0.0,2.37,0.4,0.0,0.0,2010-01-01 05:10:00
2010-01-01 05:20:00,0.37,0.44,0.0,0.0,2.11,0.41,0.0,0.0,2.84,0.59,543.92,0.0,2.37,0.55,0.0,0.0,2010-01-01 05:20:00
2010-01-01 05:30:00,0.53,0.6,0.0,0.0,2.11,0.59,0.0,0.0,2.84,0.68,520.23,0.0,2.37,0.63,0.0,0.0,2010-01-01 05:30:00
2010-01-01 05:40:00,0.66,0.7,0.0,0.0,2.11,0.76,0.0,0.0,2.85,0.77,500.46,0.0,2.41,0.79,0.0,0.0,2010-01-01 05:40:00
2010-01-01 05:50:00,0.78,0.82,0.0,0.0,2.11,0.9,0.0,0.0,2.85,0.96,491.99,0.0,2.41,0.92,0.0,0.0,2010-01-01 05:50:00
2010-01-01 06:00:00,0.86,0.92,0.0,0.0,2.11,0.97,0.0,0.0,2.85,1.05,474.63,0.0,2.41,1.03,0.0,0.0,2010-01-01 06:00:00
2010-01-01 06:10:00,0.94,1.0,0.0,0.0,2.11,1.05,0.0,0.0,2.85,1.09,465.63,0.0,2.42,1.09,0.0,0.0,2010-01-01 06:10:00
2010-01-01 06:20:00,1.03,1.13,0.0,0.0,2.11,1.2,0.0,0.0,2.85,1.2,458.29,0.0,2.42,1.17,0.0,0.0,2010-01-01 06:20:00
2010-01-01 06:30:00,1.12,1.23,0.0,0.0,2.11,1.23,0.0,0.0,2.84,1.27,433.61,0.0,2.42,1.21,0.0,0.0,2010-01-01 06:30:00
2010-01-01 06:40:00,1.21,1.32,0.0,0.0,2.11,1.35,0.0,0.0,2.84,1.36,417.69,0.0,2.43,1.37,0.0,0.0,2010-01-01 06:40:00
2010-01-01 06:50:00,1.3,1.42,0.0,0.0,2.11,1.44,0.0,0.0,2.85,1.48,405.34,0.0,2.43,1.47,0.0,0.0,2010-01-01 06:50:00
2010-01-01 07:00:00,1.42,1.54,0.0,0.0,2.11,1.54,0.0,0.0,2.84,1.57,381.67,0.0,2.43,1.53,0.0,0.0,2010-01-01 07:00:00
2010-01-01 07:10:00,1.53,1.64,0.0,0.0,2.11,1.66,0.0,0.0,2.84,1.67,363.48,0.0,2.46,1.66,0.0,0.0,2010-01-01 07:10:00
2010-01-01 07:20:00,1.62,1.72,0.0,0.0,2.11,1.75,0.0,0.0,2.84,1.8,341.87,0.0,2.46,1.78,0.0,0.0,2010-01-01 07:20:00
2010-01-01 07:30:00,1.73,1.83,0.0,0.0,2.11,1.85,0.0,0.0,2.84,1.89,313.44,0.0,2.49,1.88,0.0,0.0,2010-01-01 07:30:00
2010-01-01 07:40:00,1.83,1.91,0.0,0.0,2.11,1.96,0.0,0.0,2.84,1.99,291.02,0.0,2.5,1.96,0.0,0.0,2010-01-01 07:40:00
2010-01-01 07:50:00,1.92,1.98,0.0,0.0,2.11,2.04,0.0,0.0,2.84,2.08,273.0,0.0,2.51,2.04,0.0,0.0,2010-01-01 07:50:00
2010-01-01 08:00:00,1.99,2.07,0.0,0.0,2.11,2.13,0.0,0.0,2.84,2.16,246.94,0.0,2.51,2.13,0.0,0.0,2010-01-01 08:00:00
2010-01-01 08:10:00,2.04,2.13,0.0,0.0,2.11,2.19,0.0,0.0,2.84,2.23,225.42,0.0,2.53,2.19,0.0,0.0,2010-01-01 08:10:00
2010-01-01 08:20:00,2.12,2.2,0.0,0.0,2.12,2.26,0.0,0.0,2.83,2.3,205.78,0.0,2.54,2.25,0.0,0.0,2010-01-01 08:20:00
2010-01-01 08:30:00,2.17,2.24,0.0,0.0,2.12,2.34,0.0,0.0,2.84,2.36,188.6,0.0,2.56,2.3,0.0,0.0,2010-01-01 08:30:00
2010-01-01 08:40:00,2.21,2.27,0.0,0.0,2.12,2.37,0.0,0.0,2.84,2.4,169.69,0.0,2.57,2.36,0.0,0.0,2010-01-01 08:40:00
2010-01-01 08:50:00,2.27,2.3,0.0,0.0,2.12,2.41,0.0,0.0,2.83,2.45,159.4,0.0,2.59,2.4,0.0,0.0,2010-01-01 08:50:00
2010-01-01 09:00:00,2.29,2.34,0.0,0.0,2.13,2.46,0.0,0.0,2.83,2.48,153.99,0.0,2.59,2.42,0.0,0.0,2010-01-01 09:00:00
2010-01-01 09:10:00,2.3,2.34,0.0,0.0,2.14,2.46,0.0,0.0,2.83,2.49,142.57,0.0,2.62,2.44,0.0,0.0,2010-01-01 09:10:00
2010-01-01 09:20:00,2.32,2.34,0.0,0.0,2.14,2.48,0.0,0.0,2.83,2.49,148.39,0.0,2.61,2.47,0.0,0.0,2010-01-01 09:20:00
2010-01-01 09:30:00,2.31,2.33,0.0,0.0,2.14,2.5,0.0,0.0,2.84,2.51,143.11,0.0,2.61,2.47,0.0,0.0,2010-01-01 09:30:00
2010-01-01 09:40:00,2.31,2.3,0.0,0.0,2.15,2.46,0.0,0.0,2.84,2.49,148.39,0.0,2.61,2.47,0.0,0.0,2010-01-01 09:40:00
2010-01-01 09:50:00,2.27,2.25,0.0,0.0,2.16,2.48,0.0,0.0,2.84,2.47,148.39,0.0,2.59,2.44,0.0,0.0,2010-01-01 09:50:00
2010-01-01 10:00:00,2.23,2.2,0.0,0.0,2.16,2.4,0.0,0.0,2.84,2.43,153.99,0.0,2.59,2.42,0.0,0.0,2010-01-01 10:00:00
2010-01-01 10:10:00,2.18,2.14,0.0,0.0,2.17,2.38,0.0,0.0,2.83,2.39,184.06,0.0,2.56,2.36,0.0,0.0,2010-01-01 10:10:00
2010-01-01 10:20:00,2.12,2.06,0.0,0.0,2.17,2.3,0.0,0.0,2.83,2.3,209.86,0.0,2.56,2.27,0.0,0.0,2010-01-01 10:20:00
2010-01-01 10:30:00,2.02,1.94,0.0,0.0,2.18,2.24,0.0,0.0,2.84,2.23,232.81,0.0,2.56,2.19,0.0,0.0,2010-01-01 10:30:00
2010-01-01 10:40:00,1.94,1.84,0.0,0.0,2.18,2.12,0.0,0.0,2.83,2.15,266.72,0.0,2.52,2.1,0.0,0.0,2010-01-01 10:40:00
2010-01-01 10:50:00,1.8,1.75,0.0,0.0,2.18,2.03,0.0,0.0,2.85,2.0,293.91,0.0,2.51,2.0,0.0,0.0,2010-01-01 10:50:00
2010-01-01 11:00:00,1.68,1.62,0.0,0.0,2.18,1.91,0.0,0.0,2.85,1.89,324.06,0.0,2.51,1.85,0.0,0.0,2010-01-01 11:00:00
2010-01-01 11:10:00,1.58,1.53,0.0,0.0,2.18,1.81,0.0,0.0,2.83,1.78,354.04,0.0,2.46,1.77,0.0,0.0,2010-01-01 11:10:00
2010-01-01 11:20:00,1.45,1.41,0.0,0.0,2.18,1.67,0.0,0.0,2.84,1.64,370.4,0.0,2.45,1.64,0.0,0.0,2010-01-01 11:20:00
2010-01-01 11:30:00,1.33,1.29,0.0,0.0,2.18,1.57,0.0,0.0,2.83,1.54,390.44,0.0,2.42,1.51,0.0,0.0,2010-01-01 11:30:00
2010-01-01 11:40:00,1.24,1.21,0.0,0.0,2.19,1.45,0.0,0.0,2.85,1.45,415.66,0.0,2.4,1.41,0.0,0.0,2010-01-01 11:40:00
2010-01-01 11:50:00,1.12,1.09,0.0,0.0,2.19,1.35,0.0,0.0,2.84,1.32,431.65,0.0,2.37,1.33,0.0,0.0,2010-01-01 11:50:00
2010-01-01 12:00:00,1.02,1.01,0.0,0.0,2.19,1.24,0.0,0.0,2.84,1.22,441.35,0.0,2.37,1.19,0.0,0.0,2010-01-01 12:00:00
2010-01-01 12:10:00,0.92,0.92,0.0,0.0,2.2,1.15,0.0,0.0,2.84,1.14,456.44,0.0,2.35,1.12,0.0,0.0,2010-01-01 12:10:00
2010-01-01 12:20:00,0.86,0.84,0.0,0.0,2.2,1.06,0.0,0.0,2.84,1.02,471.05,0.0,2.31,1.02,0.0,0.0,2010-01-01 12:20:00
2010-01-01 12:30:00,0.76,0.75,0.0,0.0,2.2,0.98,0.0,0.0,2.85,0.95,481.72,0.0,2.41,0.92,0.0,0.0,2010-01-01 12:30:00
2010-01-01 12:40:00,0.68,0.65,0.0,0.0,2.2,0.89,0.0,0.0,2.85,0.88,326.25,0.0,2.63,0.82,0.0,0.0,2010-01-01 12:40:00
2010-01-01 12:50:00,0.55,0.52,0.0,0.0,2.2,0.81,0.0,0.0,2.83,0.77,0.0,0.0,2.63,0.7,0.0,0.0,2010-01-01 12:50:00
2010-01-01 13:00:00,0.42,0.44,0.0,0.0,2.2,0.73,0.0,0.0,2.84,0.6,0.0,0.0,2.63,0.58,0.0,0.0,2010-01-01 13:00:00
2010-01-01 13:10:00,0.3,0.37,0.0,0.0,2.2,0.57,0.0,0.0,2.84,0.53,0.0,0.0,2.65,0.49,0.0,0.0,2010-01-01 13:10:00
2010-01-01 13:20:00,0.21,0.21,0.0,0.0,2.2,0.45,0.0,0.0,2.84,0.4,0.0,0.0,2.6,0.35,0.0,0.0,2010-01-01 13:20:00
2010-01-01 13:30:00,0.1,0.13,0.0,0.0,2.2,0.37,0.0,0.0,2.82,0.29,0.0,0.0,2.6,0.29,0.0,0.0,2010-01-01 13:30:00
2010-01-01 13:40:00,0.03,0.04,0.0,0.0,2.19,0.27,0.0,0.0,2.84,0.21,0.0,0.0,2.61,0.16,0.0,0.0,2010-01-01 13:40:00
2010-01-01 13:50:00,-0.08,-0.08,0.0,0.0,2.19,0.17,0.0,0.0,2.85,0.09,0.0,0.0,2.61,0.05,0.0,0.0,2010-01-01 13:50:00
2010-01-01 14:00:00,-0.19,-0.16,0.0,0.0,2.19,0.09,0.0,0.0,2.84,0.01,0.0,0.0,2.61,0.0,0.0,0.0,2010-01-01 14:00:00
2010-01-01 14:10:00,-0.29,-0.22,0.0,0.0,2.18,-0.01,0.0,0.0,2.83,-0.06,0.0,0.0,2.64,-0.1,0.0,0.0,2010-01-01 14:10:00
2010-01-01 14:20:00,-0.35,-0.29,0.0,0.0,2.19,-0.1,0.0,0.0,2.84,-0.19,0.0,0.0,2.64,-0.22,0.0,0.0,2010-01-01 14:20:00
2010-01-01 14:30:00,-0.44,-0.38,0.0,0.0,2.19,-0.16,0.0,0.0,2.86,-0.26,0.0,0.0,2.66,-0.31,0.0,0.0,2010-01-01 14:30:00
2010-01-01 14:40:00,-0.49,-0.44,0.0,0.0,2.18,-0.23,0.0,0.0,2.85,-0.32,0.0,0.0,2.66,-0.34,0.0,0.0,2010-01-01 14:40:00
2010-01-01 14:50:00,-0.57,-0.47,0.0,0.0,2.18,-0.31,0.0,0.0,2.86,-0.41,0.0,0.0,2.66,-0.43,0.0,0.0,2010-01-01 14:50:00
2010-01-01 15:00:00,-0.62,-0.51,0.0,0.0,2.18,-0.37,0.0,0.0,2.86,-0.46,0.0,0.0,2.7,-0.45,0.0,0.0,2010-01-01 15:00:00
2010-01-01 15:10:00,-0.63,-0.53,0.0,0.0,2.18,-0.41,0.0,0.0,2.85,-0.51,0.0,0.0,2.7,-0.5,0.0,0.0,2010-01-01 15:10:00
2010-01-01 15:20:00,-0.68,-0.56,0.0,0.0,2.18,-0.45,0.0,0.0,2.8,-0.55,0.0,0.0,2.7,-0.56,0.0,0.0059375,2010-01-01 15:20:00
2010-01-01 15:30:00,-0.72,-0.6,0.0,0.0,2.18,-0.49,0.0,0.0,2.87,-0.57,0.0,0.0,2.7,-0.6,0.0,0.0153125,2010-01-01 15:30:00
2010-01-01 15:40:00,-0.74,-0.6,0.0,0.0,2.17,-0.51,0.0,0.0,2.83,-0.56,0.0,0.0,2.71,-0.6,0.0,0.0153125,2010-01-01 15:40:00
2010-01-01 15:50:00,-0.75,-0.57,0.0,0.0,2.17,-0.53,0.0,0.0,2.85,-0.61,0.0,0.0,2.71,-0.62,0.0,0.0184375,2010-01-01 15:50:00
2010-01-01 16:00:00,-0.72,-0.59,0.0,0.0,2.17,-0.54,0.0,0.0,2.85,-0.58,0.0,0.0,2.71,-0.64,0.0,0.011875,2010-01-01 16:00:00
2010-01-01 16:10:00,-0.71,-0.56,0.0,0.0,2.17,-0.51,0.0,0.0,2.85,-0.54,0.0,0.0,2.7,-0.56,0.0,0.011875,2010-01-01 16:10:00
2010-01-01 16:20:00,-0.68,-0.47,0.0,0.0,2.17,-0.51,0.0,0.0,2.86,-0.5,0.0,0.0,2.7,-0.51,0.0,0.01,2010-01-01 16:20:00
2010-01-01 16:30:00,-0.61,-0.33,0.0,0.0,2.17,-0.47,0.0,0.0,2.87,-0.46,0.0,0.0,2.7,-0.5,0.0,0.0215625,2010-01-01 16:30:00
2010-01-01 16:40:00,-0.52,-0.2,0.0,0.0,2.17,-0.37,0.0,0.0,2.86,-0.4,0.0,0.0,2.71,-0.41,0.0,0.0215625,2010-01-01 16:40:00
2010-01-01 16:50:00,-0.4,-0.11,0.0,0.0,2.17,-0.27,0.0,0.0,2.86,-0.24,0.0,0.0,2.73,-0.28,0.0,0.0128125,2010-01-01 16:50:00
2010-01-01 17:00:00,-0.24,-0.01,0.0,0.0,2.17,-0.13,0.0,0.0,2.87,-0.08,0.0,0.0,2.73,-0.1,0.0,0.0,2010-01-01 17:00:00
2010-01-01 17:10:00,-0.1,0.12,0.0,0.0,2.17,-0.01,0.0,0.0,2.85,0.05,0.0,0.0,2.74,0.08,0.0,0.0,2010-01-01 17:10:00
2010-01-01 17:20:00,0.08,0.22,0.0,0.0,2.17,0.14,0.0,0.0,2.87,0.24,0.0,0.0,2.74,0.21,0.0,0.0,2010-01-01 17:20:00
2010-01-01 17:30:00,0.21,0.35,0.0,0.0,2.17,0.32,0.0,0.0,2.87,0.38,0.0,0.0,2.74,0.35,0.0,0.0,2010-01-01 17:30:00
2010-01-01 17:40:00,0.35,0.49,0.0,0.0,2.17,0.44,0.0,0.0,2.86,0.49,0.0,0.0,2.74,0.47,0.0,0.0,2010-01-01 17:40:00
2010-01-01 17:50:00,0.49,0.6,0.0,0.0,2.16,0.6,0.0,0.0,2.86,0.66,0.0,0.0,2.76,0.6,0.0,0.0,2010-01-01 17:50:00
2010-01-01 18:00:00,0.6,0.75,0.0,0.0,2.16,0.71,0.0,0.0,2.87,0.78,0.0,0.0,2.76,0.71,0.0,0.0,2010-01-01 18:00:00
2010-01-01 18:10:00,0.72,0.8,0.0,0.0,2.16,0.83,0.0,0.0,2.87,0.86,0.0,0.0,2.77,0.82,0.0,0.0,2010-01-01 18:10:00
2010-01-01 18:20:00,0.84,0.91,0.0,0.0,2.16,0.97,0.0,0.0,2.87,1.0,0.0,0.0,2.77,0.95,0.0,0.0,2010-01-01 18:20:00
2010-01-01 18:30:00,0.93,1.03,0.0,0.0,2.15,1.05,0.0,0.0,2.87,1.1,0.0,0.0,2.77,1.06,0.0,0.0,2010-01-01 18:30:00
2010-01-01 18:40:00,1.02,1.12,0.0,0.0,2.15,1.12,0.0,0.0,2.87,1.16,0.0,0.0,2.77,1.12,0.0,0.0,2010-01-01 18:40:00
2010-01-01 18:50:00,1.1,1.23,0.0,0.0,2.15,1.27,0.0,0.0,2.87,1.28,0.0,0.0,2.77,1.21,0.0,0.0,2010-01-01 18:50:00
2010-01-01 19:00:00,1.2,1.33,0.0,0.0,2.15,1.32,0.0,0.0,2.88,1.34,0.0,0.0,2.78,1.3,0.0,0.0,2010-01-01 19:00:00
2010-01-01 19:10:00,1.29,1.35,0.0,0.0,2.15,1.43,0.0,0.0,2.87,1.45,0.0,0.0,2.78,1.39,0.0,0.0,2010-01-01 19:10:00
2010-01-01 19:20:00,1.37,1.42,0.0,0.0,2.15,1.51,0.0,0.0,2.87,1.55,0.0,0.0,2.78,1.49,0.0,0.0,2010-01-01 19:20:00
2010-01-01 19:30:00,1.45,1.5,0.0,0.0,2.15,1.58,0.0,0.0,2.87,1.61,0.0,0.0,2.63,1.54,0.0,0.0,2010-01-01 19:30:00
2010-01-01 19:40:00,1.49,1.57,0.0,0.0,2.15,1.65,0.0,0.0,2.87,1.67,320.02,0.0,2.55,1.7,0.0,0.0,2010-01-01 19:40:00
2010-01-01 19:50:00,1.6,1.67,0.0,0.0,2.15,1.71,0.0,0.0,2.88,1.77,372.1,0.0,2.58,1.73,0.0,0.0,2010-01-01 19:50:00
2010-01-01 20:00:00,1.69,1.72,0.0,0.0,2.15,1.78,0.0,0.0,2.88,1.86,360.72,0.0,2.58,1.78,0.0,0.0,2010-01-01 20:00:00
2010-01-01 20:10:00,1.72,1.81,0.0,0.0,2.15,1.92,0.0,0.0,2.87,1.89,340.57,0.0,2.58,1.88,0.0,0.0,2010-01-01 20:10:00
2010-01-01 20:20:00,1.78,1.87,0.0,0.0,2.15,1.93,0.0,0.0,2.87,1.97,330.55,0.0,2.61,1.92,0.0,0.0,2010-01-01 20:20:00
2010-01-01 20:30:00,1.86,1.92,0.0,0.0,2.15,2.01,0.0,0.0,2.89,2.03,322.83,0.0,2.64,2.0,0.0,0.0,2010-01-01 20:30:00
2010-01-01 20:40:00,1.9,1.97,0.0,0.0,2.16,2.07,0.0,0.0,2.89,2.08,314.92,0.0,2.64,2.04,0.0,0.0,2010-01-01 20:40:00
2010-01-01 20:50:00,1.93,1.99,0.0,0.0,2.16,2.07,0.0,0.0,2.88,2.11,304.06,0.0,2.64,2.07,0.0,0.0,2010-01-01 20:50:00
2010-01-01 21:00:00,1.98,2.05,0.0,0.0,2.16,2.16,0.0,0.0,2.9,2.15,298.48,0.0,2.64,2.11,0.0,0.0,2010-01-01 21:00:00
2010-01-01 21:10:00,1.99,2.05,0.0,0.0,2.16,2.16,0.0,0.0,2.89,2.18,284.05,0.0,2.64,2.15,0.0,0.0,2010-01-01 21:10:00
2010-01-01 21:20:00,2.03,2.06,0.0,0.0,2.17,2.21,0.0,0.0,2.88,2.22,271.96,0.0,2.64,2.17,0.0,0.0,2010-01-01 21:20:00
2010-01-01 21:30:00,2.05,2.03,0.0,0.0,2.17,2.23,0.0,0.0,2.87,2.23,271.96,0.0,2.64,2.17,0.0,0.0,2010-01-01 21:30:00
2010-01-01 21:40:00,2.05,2.03,0.0,0.0,2.17,2.21,0.0,0.0,2.87,2.23,259.3,0.0,2.6,2.17,0.0,0.0,2010-01-01 21:40:00
2010-01-01 21:50:00,2.02,1.98,0.0,0.0,2.18,2.2,0.0,0.0,2.87,2.2,265.71,0.0,2.6,2.16,0.0,0.0,2010-01-01 21:50:00
2010-01-01 22:00:00,1.96,1.95,0.0,0.0,2.18,2.16,0.0,0.0,2.87,2.17,275.03,0.0,2.59,2.14,0.0,0.0,2010-01-01 22:00:00
2010-01-01 22:10:00,1.9,1.85,0.0,0.0,2.18,2.13,0.0,0.0,2.87,2.13,281.08,0.0,2.56,2.09,0.0,0.0,2010-01-01 22:10:00
2010-01-01 22:20:00,1.87,1.76,0.0,0.0,2.18,2.04,0.0,0.0,2.86,2.04,298.48,0.0,2.56,2.02,0.0,0.0,2010-01-01 22:20:00
2010-01-01 22:30:00,1.73,1.69,0.0,0.0,2.18,1.98,0.0,0.0,2.87,1.98,314.92,0.0,2.54,1.93,0.0,0.0,2010-01-01 22:30:00
2010-01-01 22:40:00,1.65,1.55,0.0,0.0,2.18,1.83,0.0,0.0,2.87,1.86,340.57,0.0,2.51,1.8,0.0,0.0,2010-01-01 22:40:00
2010-01-01 22:50:00,1.51,1.45,0.0,0.0,2.19,1.8,0.0,0.0,2.87,1.73,364.41,0.0,2.48,1.71,0.0,0.0,2010-01-01 22:50:00
2010-01-01 23:00:00,1.4,1.3,0.0,0.0,2.19,1.62,0.0,0.0,2.86,1.61,384.61,0.0,2.46,1.61,0.0,0.0,2010-01-01 23:00:00
2010-01-01 23:10:00,1.26,1.21,0.0,0.0,2.19,1.52,0.0,0.0,2.87,1.5,405.88,0.0,2.43,1.46,0.0,0.0,2010-01-01 23:10:00
2010-01-01 23:20:00,1.14,1.09,0.0,0.0,2.19,1.39,0.0,0.0,2.87,1.34,431.96,0.0,2.4,1.34,0.0,0.0,2010-01-01 23:20:00
2010-01-01 23:30:00,1.01,0.96,0.0,0.0,2.19,1.25,0.0,0.0,2.87,1.22,445.37,0.0,2.37,1.2,0.0,0.0,2010-01-01 23:30:00
2010-01-01 23:40:00,0.91,0.84,0.0,0.0,2.19,1.15,0.0,0.0,2.86,1.12,458.39,0.0,2.36,1.09,0.0,0.0,2010-01-01 23:40:00
2010-01-01 23:50:00,0.8,0.72,0.0,0.0,2.19,1.03,0.0,0.0,2.86,0.98,476.37,0.0,2.35,0.97,0.0,0.0,2010-01-01 23:50:00
2010-01-02 00:00:00,0.66,0.6,0.0,0.0,2.19,0.9,0.0,0.0,2.87,0.87,484.98,0.0,2.37,0.82,0.0,0.0,2010-01-02 00:00:00
2010-01-02 00:10:00,0.54,0.53,0.0,0.0,2.19,0.81,0.0,0.0,2.87,0.78,355.42,0.0,2.63,0.71,0.0,0.0,2010-01-02 00:10:00
2010-01-02 00:20:00,0.41,0.4,0.0,0.0,2.19,0.69,0.0,0.0,2.86,0.63,0.0,0.0,2.66,0.54,0.0,0.0,2010-01-02 00:20:00
2010-01-02 00:30:00,0.26,0.28,0.0,0.0,2.19,0.59,0.0,0.0,2.86,0.46,0.0,0.0,2.66,0.41,0.0,0.0,2010-01-02 00:30:00
2010-01-02 00:40:00,0.16,0.14,0.0,0.0,2.19,0.45,0.0,0.0,2.87,0.35,0.0,0.0,2.67,0.33,0.0,0.0,2010-01-02 00:40:00
2010-01-02 00:50:00,0.03,0.03,0.0,0.0,2.19,0.31,0.0,0.0,2.86,0.25,0.0,0.0,2.62,0.22,0.0,0.0,2010-01-02 00:50:00
2010-01-02 01:00:00,-0.09,-0.07,0.0,0.0,2.19,0.2,0.0,0.0,2.86,0.12,0.0,0.0,2.62,0.06,0.0,0.0,2010-01-02 01:00:00
